207 to 232,1
527 to 755,1
27 to 285,1
103 to 128,1
215 to 416,1
550 to 843,1
493 to 549,1
200 to 230,1
71 to 886,2
529 to 978,1
442 to 459,1
352 to 453,1
274 to 773,1
337 to 649,1
918 to 927,1
197 to 291,1
110 to 441,1
274 to 917,1
918 to 951,1
305 to 392,1
428 to 709,1
352 to 926,1
489 to 500,1
178 to 325,1
860 to 926,2
809 to 834,2
60 to 76,1
54 to 165,1
439 to 546,1
20 to 31,1
474 to 789,1
36 to 69,1
534 to 548,1
502 to 552,1
119 to 711,1
139 to 650,1
118 to 692,2
350 to 494,1
607 to 674,1
110 to 623,1
41 to 107,1
186 to 578,1
450 to 649,1
109 to 799,1
243 to 639,1
730 to 852,1
19 to 763,1
186 to 372,1
27 to 35,1
27 to 34,1
31 to 119,1
11 to 206,1
230 to 512,1
115 to 986,1
118 to 520,1
226 to 282,1
49 to 556,1
384 to 534,1
312 to 636,1
23 to 27,1
67 to 200,1
409 to 746,1
115 to 433,1
322 to 963,1
159 to 777,1
19 to 103,1
119 to 258,1
131 to 312,2
595 to 830,1
213 to 669,1
829 to 843,1
230 to 518,1
423 to 596,1
393 to 824,1
500 to 797,1
65 to 880,1
95 to 449,1
451 to 795,1
534 to 724,1
18 to 61,2
316 to 526,1
235 to 354,1
8 to 15,1
65 to 475,1
173 to 347,1
95 to 843,1
64 to 92,1
416 to 653,1
486 to 571,1
270 to 669,1
19 to 617,1
97 to 449,1
289 to 506,1
51 to 250,1
31 to 542,1
9 to 68,1
248 to 696,1
69 to 325,1
1 to 6,1
335 to 559,1
1 to 2,1
5 to 934,1
449 to 856,1
204 to 384,1
525 to 669,1
200 to 255,1
266 to 378,1
678 to 686,1
68 to 104,1
130 to 160,1
235 to 286,1
82 to 643,1
164 to 268,1
133 to 582,1
624 to 653,1
41 to 300,1
404 to 711,1
297 to 918,1
195 to 922,1
368 to 746,1
41 to 48,1
559 to 827,1
6 to 213,1
104 to 154,1
563 to 577,1
259 to 802,1
4 to 318,1
34 to 48,1
211 to 386,2
592 to 813,1
17 to 184,1
73 to 475,1
1 to 198,2
39 to 96,1
325 to 653,1
80 to 110,1
596 to 916,1
119 to 238,1
174 to 277,2
17 to 433,1
439 to 978,1
174 to 270,1
234 to 992,1
530 to 915,1
211 to 473,1
783 to 809,1
9 to 116,1
592 to 726,2
508 to 795,1
130 to 389,1
11 to 542,2
137 to 481,1
125 to 269,1
96 to 197,1
143 to 278,1
96 to 199,1
119 to 524,1
418 to 952,1
66 to 617,1
449 to 632,1
47 to 463,1
117 to 561,1
583 to 706,1
168 to 279,1
368 to 561,1
107 to 414,1
64 to 383,1
526 to 784,1
5 to 49,1
38 to 707,1
133 to 168,1
185 to 298,1
745 to 822,1
414 to 997,1
280 to 420,1
52 to 456,1
174 to 296,1
287 to 945,2
310 to 388,1
230 to 759,1
349 to 889,1
357 to 736,1
12 to 55,1
371 to 481,1
147 to 742,1
492 to 621,1
372 to 760,1
16 to 174,1
25 to 618,1
49 to 165,1
141 to 155,1
465 to 575,1
287 to 543,1
367 to 752,1
207 to 337,2
679 to 784,1
70 to 577,1
353 to 898,1
33 to 256,1
288 to 388,1
302 to 595,1
718 to 973,1
110 to 769,1
178 to 336,1
323 to 611,1
15 to 36,1
509 to 725,1
73 to 121,1
57 to 232,1
96 to 173,1
394 to 813,2
595 to 751,1
469 to 765,1
312 to 910,1
819 to 968,1
201 to 627,1
110 to 161,1
398 to 409,1
160 to 389,1
410 to 448,1
304 to 526,1
357 to 394,1
342 to 650,1
13 to 266,1
67 to 215,1
2 to 76,3
721 to 999,1
23 to 33,1
79 to 775,1
406 to 971,1
153 to 708,2
38 to 274,1
541 to 856,1
159 to 764,1
141 to 973,1
294 to 412,1
97 to 617,1
229 to 600,2
402 to 534,1
257 to 764,1
379 to 960,1
694 to 818,1
19 to 119,1
260 to 654,1
323 to 433,1
113 to 325,1
555 to 577,1
577 to 581,1
213 to 717,1
308 to 963,1
535 to 552,1
243 to 607,1
76 to 397,1
555 to 759,1
233 to 651,1
39 to 49,1
407 to 831,1
64 to 82,1
64 to 81,1
311 to 557,1
1 to 12,1
360 to 887,1
248 to 352,1
332 to 593,1
418 to 543,1
53 to 391,1
4 to 6,1
294 to 784,1
548 to 696,1
548 to 694,1
41 to 205,1
35 to 450,1
777 to 826,1
9 to 326,1
26 to 317,1
184 to 311,1
55 to 836,1
149 to 557,1
13 to 281,1
404 to 543,1
746 to 909,1
265 to 919,1
153 to 528,1
449 to 994,1
206 to 290,1
17 to 336,1
297 to 438,1
133 to 551,1
685 to 769,1
261 to 391,1
340 to 474,1
412 to 706,1
194 to 262,1
71 to 373,1
176 to 472,1
176 to 473,1
631 to 819,1
433 to 578,1
184 to 793,1
33 to 886,1
385 to 937,1
59 to 225,1
129 to 787,1
188 to 742,1
4 to 323,1
496 to 677,1
204 to 611,1
408 to 858,1
39 to 82,1
883 to 928,1
117 to 171,1
468 to 886,1
171 to 611,1
504 to 754,1
185 to 389,1
9 to 103,1
376 to 594,2
783 to 834,1
666 to 670,1
329 to 453,1
767 to 949,1
185 to 474,1
211 to 266,1
639 to 840,1
391 to 927,1
242 to 325,1
210 to 453,1
503 to 648,1
78 to 249,1
368 to 559,1
223 to 240,1
200 to 215,1
512 to 706,1
204 to 508,1
147 to 173,1
205 to 759,2
614 to 811,1
507 to 644,1
205 to 249,6
237 to 453,1
493 to 524,1
152 to 397,1
64 to 379,1
12 to 64,1
62 to 277,1
143 to 595,1
49 to 152,1
537 to 662,1
384 to 426,1
327 to 727,1
327 to 724,1
422 to 787,1
86 to 116,1
182 to 192,3
86 to 119,1
207 to 323,1
347 to 980,1
169 to 604,1
326 to 582,1
31 to 97,1
293 to 410,1
338 to 432,1
15 to 21,1
342 to 713,1
15 to 23,2
326 to 347,2
15 to 27,1
128 to 450,1
143 to 730,1
197 to 258,1
734 to 751,1
23 to 727,1
67 to 680,1
305 to 779,1
66 to 173,1
700 to 999,1
215 to 508,1
8 to 373,1
451 to 518,1
88 to 285,1
553 to 941,1
347 to 613,1
588 to 648,1
213 to 266,1
637 to 918,1
160 to 575,1
110 to 178,1
502 to 590,1
249 to 552,2
534 to 581,1
215 to 292,1
448 to 541,2
289 to 476,1
285 to 966,1
243 to 296,1
27 to 51,2
178 to 298,1
317 to 360,1
32 to 156,1
372 to 395,1
124 to 238,1
546 to 800,1
12 to 88,1
311 to 826,1
115 to 748,1
12 to 81,1
380 to 674,1
663 to 830,1
688 to 802,1
159 to 756,1
28 to 498,1
10 to 74,1
100 to 922,1
246 to 859,1
74 to 196,1
330 to 512,1
177 to 700,1
353 to 426,1
321 to 450,1
598 to 823,1
175 to 224,2
53 to 233,2
602 to 949,1
310 to 577,1
164 to 444,1
115 to 253,1
1 to 20,1
289 to 521,1
325 to 811,1
149 to 423,1
322 to 507,1
183 to 433,1
489 to 866,2
213 to 282,2
423 to 489,1
56 to 174,1
253 to 484,1
283 to 829,1
50 to 212,1
50 to 213,1
238 to 838,1
35 to 444,1
476 to 742,1
81 to 258,1
273 to 619,1
62 to 475,1
818 to 946,1
204 to 562,1
423 to 623,1
542 to 740,1
850 to 891,1
228 to 451,1
4 to 77,1
632 to 994,1
123 to 150,1
322 to 431,1
156 to 357,1
36 to 489,1
315 to 539,1
100 to 745,1
744 to 983,1
376 to 459,2
199 to 603,1
174 to 414,1
297 to 934,1
7 to 742,1
817 to 851,1
195 to 766,1
168 to 954,1
903 to 974,1
512 to 833,1
77 to 178,1
129 to 827,1
77 to 174,2
164 to 626,1
35 to 998,1
4 to 337,1
562 to 651,1
168 to 537,1
418 to 754,1
47 to 294,2
32 to 813,1
130 to 926,1
99 to 472,1
142 to 271,1
174 to 524,1
7 to 327,1
116 to 472,1
844 to 987,1
49 to 332,1
314 to 674,1
49 to 336,1
282 to 463,1
456 to 473,1
446 to 496,1
255 to 919,1
58 to 531,1
129 to 482,1
271 to 308,1
108 to 599,1
541 to 663,1
170 to 607,1
58 to 459,1
418 to 973,1
470 to 613,1
58 to 451,1
7 to 250,1
147 to 294,1
549 to 682,1
412 to 512,1
593 to 999,1
127 to 629,1
127 to 628,1
143 to 852,1
170 to 284,1
77 to 595,1
487 to 849,1
60 to 508,1
64 to 186,1
94 to 265,1
94 to 262,1
52 to 675,1
49 to 142,1
719 to 885,1
57 to 861,1
64 to 341,1
449 to 500,1
482 to 706,1
288 to 899,1
368 to 439,1
329 to 694,1
384 to 430,1
419 to 856,2
306 to 402,1
265 to 315,1
229 to 262,1
197 to 409,1
